iter	Passed	Remaining
208	293	1110
209	294	1106
210	294	1102
211	295	1098
212	296	1094
213	297	1091
214	297	1087
215	298	1084
216	299	1081
217	300	1078
218	301	1075
219	302	1071
220	302	1067
221	303	1063
222	304	1060
223	304	1056
224	305	1052
225	306	1049
226	307	1046
227	308	1043
228	308	1039
229	309	1036
230	310	1032
231	310	1029
232	311	1026
233	312	1023
234	313	1021
235	314	1018
236	315	1016
237	316	1013
238	317	1010
239	318	1007
240	318	1004
241	319	1000
242	320	997
243	321	994
244	321	992
245	322	988
246	323	985
247	323	982
248	324	979
249	325	976
250	326	973
251	327	970
252	327	968
253	328	965
254	329	963
255	330	960
256	331	958
257	332	955
258	332	952
259	333	949
260	334	946
261	335	944
262	335	941
263	336	938
264	337	935
265	338	932
266	338	929
267	339	926
268	340	924
269	340	921
270	341	919
271	342	916
272	343	914
273	344	911
274	345	909
275	345	907
276	346	904
277	347	901
278	347	899
279	348	896
280	349	894
281	350	891
282	350	888
283	351	886
284	352	883
285	352	880
286	353	878
287	354	875
288	355	873
289	355	870
290	356	868
291	357	866
292	358	864
293	358	862
294	359	859
295	360	857
296	361	854
297	361	852
298	362	850
299	363	847
300	363	845
301	364	842
302	365	840
303	366	838
304	366	835
305	367	833
306	368	831
307	368	828
308	369	826
309	370	824
310	371	823
311	372	821
312	373	819
313	374	817
314	375	816
315	376	814
316	377	813
317	378	811
318	379	809
319	380	808
320	381	806
321	381	804
322	382	802
323	383	800
324	384	797
325	384	795
326	385	793
327	386	791
328	387	790
329	388	788
330	388	785
331	389	783
332	390	781
333	391	779
334	391	777
335	392	776
336	393	774
337	394	773
338	395	771
339	396	769
340	397	767
341	397	765
342	398	763
343	399	761
344	400	759
345	401	758
346	402	756
347	402	754
348	403	753
349	404	751
350	405	749
351	406	747
352	406	745
353	407	743
354	408	741
355	408	739
356	409	737
357	410	735
358	411	733
359	411	732
360	412	730
361	413	728
362	414	726
363	415	725
364	415	723
365	416	721
366	417	719
367	418	718
368	418	716
369	419	714
370	420	712
371	421	710
372	421	708
373	422	707
374	423	705
375	423	703
376	424	701
377	425	699
378	425	697
379	426	696
380	427	694
381	428	692
382	429	691
383	429	689
384	430	687
385	431	686
386	432	684
387	433	683
388	433	681
389	434	679
390	435	677
391	435	676
392	436	674
393	437	672
394	438	671
395	438	669
396	439	667
397	440	666
398	441	664
399	442	663
400	443	662
401	444	660
402	445	659
403	445	657
404	447	656
405	448	655
406	448	654
407	449	652
408	450	650
409	451	649
410	451	647
411	452	645
412	453	644
413	453	642
414	454	640
415	455	639
416	456	638
417	457	636
418	458	635
419	458	633
420	459	632
421	460	631
422	461	629
423	462	628
424	463	626
425	463	624
426	464	623
427	465	621
428	465	619
429	466	618
430	467	616
431	467	615
432	468	613
433	469	611
434	470	610
435	471	609
436	472	608
437	472	606
438	473	605
439	474	603
440	474	601
441	475	600
442	476	598
443	476	597
444	477	595
445	478	594
446	478	592
447	479	591
448	480	589
449	481	587
450	481	586
451	482	584
452	483	583
453	483	581
454	484	580
455	485	579
456	486	578
457	487	577
458	488	575
459	489	574
460	490	573
461	490	571
462	491	570
463	492	569
464	493	568
465	494	567
466	495	565
467	496	564
468	497	563
469	498	561
470	499	560
471	500	559
472	501	558
473	501	556
474	502	555
475	503	554
476	504	553
477	505	552
478	506	551
479	507	549
480	508	548
481	509	547
482	509	545
483	510	544
484	511	543
485	512	541
486	513	540
487	514	539
488	515	538
489	516	537
490	517	536
491	517	534
492	518	533
493	519	532
494	520	530
495	521	529
496	521	528
497	522	526
498	523	525
499	524	524
500	525	523
501	526	521
502	526	520
503	527	519
504	528	518
505	531	518
506	531	517
507	532	516
508	533	515
509	534	513
510	535	512
511	536	511
512	539	511
513	540	510
514	541	509
515	542	508
516	543	507
517	544	506
518	545	505
519	547	504
520	548	503
521	549	502
522	550	501
523	551	500
524	552	499
525	553	498
526	554	497
527	555	496
528	557	496
529	558	495
530	559	493
531	560	492
532	561	491
533	561	490
534	562	489
535	563	487
536	564	486
537	565	485
538	566	484
539	567	483
540	567	481
541	568	480
542	569	479
543	570	477
544	571	476
545	572	475
546	573	474
547	573	473
548	574	472
549	575	470
550	576	469
551	577	468
552	578	467
553	578	466
554	579	464
555	580	463
556	581	462
557	582	461
558	582	459
559	583	458
560	584	457
561	584	455
562	585	454
563	586	453
564	587	452
565	588	451
566	589	449
567	589	448
568	590	447
569	591	446
570	593	445
571	594	444
572	595	443
573	596	442
574	597	441
575	598	440
576	599	439
577	600	438
578	602	437
579	603	436
580	604	435
581	605	434
582	606	433
583	607	432
584	608	431
585	609	430
586	610	429
587	611	428
588	612	427
589	613	426
590	614	425
591	615	424
592	616	422
593	617	421
594	617	420
595	618	419
596	619	418
597	620	417
598	621	416
599	622	414
600	623	413
601	623	412
602	624	411
603	625	409
604	625	408
605	626	407
606	627	406
607	628	404
608	628	403
609	629	402
610	630	401
611	631	400
612	631	398
613	632	397
614	633	396
615	634	395
616	635	394
617	636	393
618	636	392
619	637	390
620	638	389
621	639	388
622	639	387
623	640	385
624	641	384
625	642	383
626	642	382
627	643	381
628	644	379
629	644	378
630	645	377
631	646	376
632	647	375
633	648	374
634	649	373
635	650	372
636	651	371
637	651	369
638	652	368
639	653	367
640	653	366
641	654	365
642	655	363
643	656	362
644	656	361
645	657	360
646	658	359
647	658	357
648	659	356
649	660	355
650	661	354
651	662	353
652	663	352
653	664	351
654	665	350
655	666	349
656	666	348
657	667	347
658	668	346
659	669	344
660	670	343
661	671	342
662	672	341
663	672	340
664	673	339
665	674	338
666	675	337
667	676	336
668	677	335
669	677	333
670	678	332
671	679	331
672	680	330
673	681	329
674	681	328
675	682	327
676	683	326
677	684	324
678	684	323
679	685	322
680	686	321
681	686	320
682	687	319
683	688	317
684	688	316
685	689	315
686	690	314
687	691	313
688	692	312
689	693	311
690	694	310
691	694	309
692	695	308
693	696	307
694	696	305
695	697	304
696	698	303
697	699	302
698	699	301
699	700	300
700	701	299
701	701	297
702	702	296
703	703	295
704	703	294
705	704	293
706	705	292
707	706	291
708	707	290
709	707	289
710	708	288
711	709	287
712	710	285
713	711	284
714	711	283
715	712	282
716	713	281
717	713	280
718	714	279
719	715	278
720	715	277
721	716	275
722	717	274
723	718	273
724	718	272
725	719	271
726	720	270
727	721	269
728	722	268
729	723	267
730	724	266
731	725	265
732	726	264
733	727	263
734	728	262
735	728	261
736	729	260
737	730	259
738	731	258
739	731	257
740	732	256
741	733	254
742	734	253
743	734	252
744	735	251
745	736	250
746	737	249
747	738	248
748	739	247
749	739	246
750	740	245
751	741	244
752	742	243
753	742	242
754	743	241
755	744	240
756	744	239
757	745	238
758	746	236
759	746	235
760	747	234
761	748	233
762	749	232
763	750	231
764	751	230
765	751	229
766	752	228
767	753	227
768	754	226
769	755	225
770	755	224
771	756	223
772	757	222
773	758	221
774	758	220
775	759	219
776	760	218
777	761	217
778	761	216
779	762	215
780	763	213
781	763	212
782	764	211
783	765	210
784	766	209
785	767	208
786	768	207
787	768	206
788	769	205
789	770	204
790	771	203
791	771	202
792	772	201
793	773	200
794	774	199
795	774	198
796	775	197
797	776	196
798	776	195
799	777	194
800	778	193
801	779	192
802	779	191
803	780	190
804	781	189
805	781	188
806	782	187
807	783	186
808	784	185
809	784	184
810	785	183
811	786	182
812	786	180
813	787	179
814	788	178
815	788	177
816	789	176
817	790	175
818	790	174
819	791	173
820	792	172
821	793	171
822	794	170
823	794	169
824	795	168
825	796	167
826	797	166
827	797	165
828	798	164
829	799	163
830	799	162
831	800	161
832	801	160
833	801	159
834	802	158
835	803	157
836	804	156
837	804	155
838	805	154
839	806	153
840	806	152
841	807	151
842	808	150
843	809	149
844	809	148
845	810	147
846	811	146
847	812	145
848	812	144
849	813	143
850	814	142
851	814	141
852	815	140
853	816	139
854	817	138
855	817	137
856	818	136
857	819	135
858	819	134
859	820	133
860	821	132
861	821	131
862	822	130
863	823	129
864	824	128
865	825	127
866	825	126
867	826	125
868	827	124
869	828	123
870	829	122
871	830	121
872	830	120
873	831	119
874	832	118
875	832	117
876	833	116
877	834	115
878	835	114
879	835	113
880	836	112
881	837	111
882	837	111
883	838	110
884	839	109
885	840	108
886	841	107
887	841	106
888	842	105
889	843	104
890	843	103
891	844	102
892	845	101
893	845	100
894	846	99
895	847	98
896	848	97
897	848	96
898	849	95
899	850	94
900	850	93
901	851	92
902	852	91
903	853	90
904	854	89
905	855	88
906	855	87
907	856	86
908	857	85
909	858	84
910	858	83
911	859	82
912	860	81
913	860	81
914	861	80
915	862	79
916	863	78
917	863	77
918	864	76
919	865	75
920	865	74
921	866	73
922	867	72
923	867	71
924	868	70
925	870	69
926	871	68
927	871	67
928	872	66
929	873	65
930	874	64
931	874	63
932	875	62
933	876	61
934	876	60
935	877	60
936	878	59
937	879	58
938	879	57
939	880	56
940	881	55
941	881	54
942	882	53
943	884	52
944	885	51
945	885	50
946	886	49
947	887	48
948	888	47
949	888	46
950	889	45
951	890	44
952	891	43
953	892	43
954	893	42
955	894	41
956	895	40
957	895	39
958	896	38
959	897	37
960	898	36
961	899	35
962	900	34
963	901	33
964	902	32
965	903	31
966	904	30
967	905	29
968	906	28
969	906	28
970	907	27
971	908	26
972	908	25
973	909	24
974	910	23
975	910	22
976	911	21
977	912	20
978	913	19
979	914	18
980	914	17
981	915	16
982	916	15
983	917	14
984	918	13
985	919	13
986	919	12
987	920	11
988	921	10
989	921	9
990	922	8
991	923	7
992	923	6
993	924	5
994	925	4
995	925	3
996	926	2
997	927	1
998	928	0
999	928	0
